Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Superzahl
26	11	2016	47	41	26	42	32	45	9	
30	11	2016	21	12	19	10	1	47	6	
3	12	2016	16	47	48	39	43	5	9	
7	12	2016	42	40	48	13	18	36	8	
10	12	2016	34	11	17	49	32	37	3	
14	12	2016	38	34	42	33	43	44	4	
17	12	2016	29	6	35	24	28	34	2	
21	12	2016	42	3	23	38	21	39	7	
24	12	2016	30	18	22	11	45	4	1	
28	12	2016	3	22	30	29	4	1	3	
31	12	2016	42	37	27	29	45	47	3	
4	1	2017	48	5	39	37	21	13	2	
7	1	2017	22	12	14	45	17	46	7	
11	1	2017	29	32	27	38	34	20	1	
14	1	2017	23	37	27	4	3	28	3	
18	1	2017	39	40	10	28	11	13	1	
21	1	2017	26	14	11	9	5	39	9	
25	1	2017	25	49	17	14	1	2	5	
28	1	2017	41	15	6	9	42	38	7	
1	2	2017	25	19	21	13	3	42	9	
4	2	2017	2	28	39	37	16	49	8	
8	2	2017	14	28	46	41	30	22	6	
11	2	2017	12	45	46	32	3	22	6	
15	2	2017	39	7	33	13	18	36	4	
18	2	2017	25	20	41	27	17	24	9	
22	2	2017	46	25	42	1	5	7	3	
25	2	2017	4	28	1	9	3	32	4	
1	3	2017	30	31	12	22	38	29	4	
4	3	2017	45	1	41	23	19	22	2	
8	3	2017	7	35	3	26	16	28	6	
11	3	2017	26	46	12	49	17	4	8	
15	3	2017	15	26	40	7	16	25	1	
18	3	2017	31	23	40	4	12	27	0	
22	3	2017	15	18	4	38	22	21	6	
25	3	2017	9	11	26	25	49	1	6	
29	3	2017	25	21	24	47	28	9	2	
1	4	2017	22	8	36	5	18	9	8	
5	4	2017	41	22	6	49	1	7	2	
8	4	2017	28	7	40	39	2	47	1	
12	4	2017	24	48	14	10	11	26	5	
15	4	2017	12	36	18	21	30	27	7	
19	4	2017	27	23	48	30	41	19	0	
22	4	2017	11	25	19	1	32	12	7	
26	4	2017	34	25	37	42	39	31	3	
29	4	2017	36	4	37	49	18	3	5	
3	5	2017	5	33	18	4	12	20	8	
6	5	2017	30	32	31	47	16	26	4	
10	5	2017	39	26	38	9	18	42	8	
13	5	2017	19	7	32	45	47	48	1	
17	5	2017	36	43	23	2	26	1	3	
20	5	2017	15	29	37	1	44	34	7	
24	5	2017	6	25	44	26	13	19	3	
27	5	2017	23	24	27	49	25	29	1	
31	5	2017	48	9	24	36	17	27	7	
3	6	2017	37	24	35	32	31	46	3	
7	6	2017	18	37	17	28	6	33	4	
10	6	2017	29	42	6	4	26	16	7	
14	6	2017	44	33	36	32	29	30	1	
17	6	2017	16	49	2	6	22	44	1	
21	6	2017	41	6	44	39	7	4	4	
24	6	2017	38	27	46	43	23	13	6	
28	6	2017	38	41	29	42	17	13	4	
1	7	2017	2	15	35	47	22	3	8	
5	7	2017	47	39	40	7	34	33	0	
8	7	2017	2	40	23	27	3	17	2	
12	7	2017	44	30	22	36	49	18	7	
15	7	2017	33	38	8	32	31	25	1	
19	7	2017	21	36	17	27	41	19	1	
22	7	2017	37	5	47	27	45	41	7	
26	7	2017	18	12	27	33	26	15	0	
29	7	2017	35	37	30	20	14	29	3	
2	8	2017	23	22	21	36	49	34	5	
5	8	2017	49	18	37	14	19	23	5	
9	8	2017	1	18	39	10	41	49	7	
12	8	2017	15	27	47	49	25	5	6	
16	8	2017	29	9	36	6	38	49	3	
19	8	2017	35	2	45	29	10	48	2	
23	8	2017	28	16	32	49	23	25	6	
26	8	2017	19	2	28	11	24	49	9	
30	8	2017	29	5	9	34	21	7	3	
2	9	2017	14	5	8	3	34	33	6	
6	9	2017	33	12	48	19	16	28	3	
9	9	2017	40	14	49	8	18	27	3	
13	9	2017	17	40	18	11	30	16	6	
16	9	2017	47	27	31	35	21	26	9	
20	9	2017	36	28	3	46	9	30	3	
23	9	2017	10	15	44	19	23	38	6	
27	9	2017	33	31	25	20	37	17	6	
30	9	2017	46	23	18	19	4	33	1	
4	10	2017	45	17	19	11	15	16	4	
7	10	2017	24	21	11	20	49	30	6	
11	10	2017	42	6	3	17	21	20	7	
14	10	2017	13	10	35	7	40	9	7	
18	10	2017	38	10	11	13	7	4	4	
21	10	2017	15	4	25	34	10	46	1	
25	10	2017	1	18	42	29	32	36	8	
28	10	2017	22	1	36	24	33	20	1	
1	11	2017	18	15	8	31	3	21	9	
4	11	2017	21	47	46	14	3	7	6	
8	11	2017	7	37	43	14	38	24	7	
11	11	2017	7	1	19	16	11	37	7	
15	11	2017	6	23	46	40	35	45	5	
18	11	2017	9	5	2	35	20	12	7	
22	11	2017	28	29	32	24	48	34	9	
25	11	2017	20	37	17	11	26	43	9	
29	11	2017	32	9	30	16	25	28	8	
2	12	2017	17	33	18	12	13	3	2	
6	12	2017	29	18	11	43	35	19	9	
9	12	2017	25	12	46	16	20	7	7	
13	12	2017	3	17	2	9	27	14	0	
16	12	2017	40	30	5	23	6	18	9	
20	12	2017	35	8	13	39	44	38	4	
23	12	2017	39	38	11	32	4	31	6	
27	12	2017	46	45	37	19	17	31	0	
30	12	2017	37	48	27	11	12	14	0	
3	1	2018	45	10	34	31	15	35	8	
6	1	2018	37	47	46	32	5	14	0	
10	1	2018	24	25	3	45	22	43	6	
13	1	2018	14	31	48	6	5	16	0	
17	1	2018	32	48	13	3	27	25	2	
20	1	2018	3	45	11	33	18	15	4	
24	1	2018	37	5	45	31	18	3	7	
27	1	2018	34	24	22	43	4	36	6	
31	1	2018	6	26	3	38	8	29	8	
3	2	2018	5	39	48	13	20	9	5	
7	2	2018	15	41	28	20	25	33	5	
10	2	2018	27	41	45	20	17	35	8	
14	2	2018	22	16	20	23	24	6	6	
17	2	2018	27	15	42	37	18	26	2	
21	2	2018	29	47	6	8	40	3	7	
24	2	2018	27	33	41	18	44	47	6	
28	2	2018	6	15	32	43	47	36	6	
3	3	2018	5	37	28	44	24	40	8	
7	3	2018	5	30	28	35	24	42	1	
10	3	2018	40	34	8	49	35	19	8	
14	3	2018	18	48	13	38	30	45	7	
17	3	2018	7	29	1	22	17	46	7	
21	3	2018	38	48	26	29	20	43	0	
24	3	2018	16	27	34	3	42	45	1	
28	3	2018	1	47	31	38	23	25	7	
31	3	2018	15	8	1	46	12	48	5	
4	4	2018	33	46	13	30	28	23	7	
7	4	2018	12	27	47	19	34	15	8	
11	4	2018	44	20	25	27	48	9	5	
14	4	2018	42	4	34	33	47	9	6	
18	4	2018	35	37	7	10	2	4	8	
21	4	2018	38	29	12	19	23	15	5	
25	4	2018	17	6	11	10	25	4	6	
28	4	2018	11	48	2	33	47	9	4	
2	5	2018	42	3	5	44	19	12	7	
5	5	2018	5	34	49	1	17	31	7	
9	5	2018	31	37	43	25	3	9	5	
12	5	2018	27	23	38	36	42	29	0	
16	5	2018	13	19	12	2	46	34	9	
19	5	2018	41	27	44	3	49	4	2	
23	5	2018	29	45	16	7	47	36	6	
26	5	2018	48	27	24	16	47	10	6	
30	5	2018	29	15	35	23	38	48	2	
2	6	2018	24	30	1	19	31	10	7	
6	6	2018	18	13	3	15	8	42	6	
9	6	2018	39	13	34	16	42	35	9	
13	6	2018	4	48	3	6	10	46	3	
16	6	2018	46	40	19	4	31	33	2	
20	6	2018	22	31	33	36	6	43	5	
23	6	2018	25	49	29	48	17	6	1	
27	6	2018	37	46	13	35	45	17	3	
30	6	2018	24	42	40	38	16	37	9	
4	7	2018	25	1	37	5	32	10	8	
7	7	2018	36	25	13	5	18	2	2	
11	7	2018	44	18	3	1	42	28	5	
14	7	2018	49	48	41	40	47	30	0	
18	7	2018	33	5	14	19	41	22	1	
21	7	2018	7	29	6	49	1	20	5	
25	7	2018	8	41	9	39	43	40	9	
28	7	2018	35	11	7	31	34	36	1	
1	8	2018	46	25	22	45	2	32	2	
4	8	2018	36	25	29	30	6	31	3	
8	8	2018	11	49	8	40	26	18	0	
11	8	2018	5	8	47	46	10	36	8	
15	8	2018	13	6	31	24	18	29	9	
18	8	2018	1	14	46	42	34	3	3	
22	8	2018	7	15	16	26	6	32	0	
25	8	2018	37	31	8	16	15	20	2	
29	8	2018	21	24	3	17	22	39	9	
1	9	2018	39	46	4	12	38	21	1	
5	9	2018	37	15	9	46	13	3	4	
8	9	2018	44	23	29	27	30	6	2	
12	9	2018	13	28	7	24	31	32	6	
15	9	2018	27	39	26	1	12	14	1	
19	9	2018	5	8	3	47	30	19	0	
22	9	2018	17	37	41	33	42	47	0	
26	9	2018	18	36	44	10	38	25	3	
29	9	2018	9	5	19	4	16	45	7	
3	10	2018	33	39	9	30	29	3	9	
6	10	2018	21	27	45	2	33	26	3	
10	10	2018	37	14	32	18	1	45	0	
13	10	2018	3	36	7	9	27	11	7	
17	10	2018	7	35	20	36	9	24	2	
20	10	2018	47	2	16	32	45	13	7	
24	10	2018	41	24	37	32	5	13	7	
27	10	2018	30	35	47	40	8	38	2	
31	10	2018	4	40	13	22	16	6	5	
3	11	2018	49	18	20	6	28	42	1	
7	11	2018	42	41	15	37	4	31	4	
10	11	2018	3	13	14	40	29	41	7	
14	11	2018	22	9	31	4	27	41	9	
17	11	2018	3	40	31	18	6	39	5	
21	11	2018	30	24	29	47	18	42	7	
24	11	2018	20	37	15	45	14	40	1	
28	11	2018	31	49	48	28	26	23	0	
1	12	2018	23	46	31	6	8	27	2	
5	12	2018	48	29	49	36	47	13	5	
8	12	2018	12	44	26	25	6	46	3	
12	12	2018	3	20	7	34	48	33	6	
15	12	2018	30	45	31	23	1	37	9	
19	12	2018	41	34	19	4	32	12	4	
22	12	2018	20	43	25	21	8	44	5	
26	12	2018	2	43	30	22	36	16	4	
29	12	2018	47	4	14	25	38	44	4	
2	1	2019	15	17	36	5	13	19	4	
5	1	2019	40	16	22	4	45	31	8	
9	1	2019	44	8	7	29	14	22	7	
12	1	2019	9	31	4	25	38	40	6	
16	1	2019	35	5	31	12	6	13	4	
19	1	2019	47	6	36	24	29	12	9	
23	1	2019	42	33	35	37	7	6	3	
26	1	2019	47	35	31	18	29	16	6	
30	1	2019	7	23	13	36	22	19	6	
2	2	2019	37	30	29	21	34	3	3	
6	2	2019	10	22	21	5	33	36	5	
9	2	2019	32	34	49	2	42	39	2	
13	2	2019	31	23	42	43	5	11	9	
16	2	2019	11	9	10	18	22	6	7	
20	2	2019	21	11	5	12	48	19	2	
23	2	2019	27	47	29	15	8	21	1	
27	2	2019	49	24	13	11	20	19	2	
2	3	2019	49	41	48	38	46	42	6	
6	3	2019	43	1	46	9	35	37	5	
9	3	2019	38	8	20	12	32	22	6	
13	3	2019	15	19	33	36	34	20	5	
